Company;Year;pos;neg;unc;SR;NFE;ISIN;Date_SRNFE;Date_AR;report_size_SRNFE;report_sentence_SRNFE;report_words_SRNFE;is_gri;report_size_AR;report_sentence_AR;report_words_AR;pfad
dr hönle;2020;41;49;22;1;1;DE0005157101;2021-01-27;fehlt;18;943;4081;0;fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert_ganz_frede\2. Fehlende SRs 2008-2020\Dr Hönle2020_NFB.pdf
fraport ag ffm.airport;2020;71;114;42;1;1;DE0005773303;2021-03-11;fehlt;23;1755;12799;1;fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert_ganz_frede\2. Fehlende SRs 2008-2020\FRAPORT AG FFM.AIRPORT2020_NFB.pdf
jungheinrich ag_sr_;2016;97;45;27;1;0;fehlt;2017-08-25;fehlt;41;1385;9895;1;fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert_ganz_frede\2. Fehlende SRs 2008-2020\Jungheinrich AG_SR_2016.pdf
jungheinrich ag_sr_;2017;98;53;29;1;0;fehlt;2018-04-23;fehlt;40;1428;9950;1;fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert_ganz_frede\2. Fehlende SRs 2008-2020\Jungheinrich AG_SR_2017.pdf
jungheinrich ag_sr_;2018;118;57;43;1;0;fehlt;2019-04-26;fehlt;41;1436;10589;1;fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert_ganz_frede\2. Fehlende SRs 2008-2020\Jungheinrich AG_SR_2018.pdf
linde ag_sr_;2008;513;148;139;1;0;DE0006483001;2009-11-23;fehlt;176;6894;34922;1;fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert_ganz_frede\2. Fehlende SRs 2008-2020\Linde AG_SR_2008.pdf
linde ag_sr_;2009;196;51;40;1;0;DE0006483001;2010-11-08;fehlt;84;3288;15751;1;fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert_ganz_frede\2. Fehlende SRs 2008-2020\Linde AG_SR_2009.pdf
linde ag_sr_;2011;116;82;56;1;0;DE0006483001;2012-05-08;fehlt;91;3842;23064;1;fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert_ganz_frede\2. Fehlende SRs 2008-2020\Linde AG_SR_2011.pdf
linde ag_sr_;2012;150;81;77;1;0;DE0006483001;2013-05-22;fehlt;100;7026;30041;1;fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert_ganz_frede\2. Fehlende SRs 2008-2020\Linde AG_SR_2012.pdf
linde ag_sr_;2013;158;91;73;1;0;DE0006483001;2019-07-08;fehlt;96;8909;26593;1;fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert_ganz_frede\2. Fehlende SRs 2008-2020\Linde AG_SR_2013.pdf
